project_id,questions_count
118514618,17448
93183740,23071
769626,34
25069485,7
26510133,936
52109529,110
1316444,2
649650,3
80207944,2549
22466241,7
107542710,54
9961391,11
72279109,1
11243499,8967
2720090,4
29260953,1
54694109,40
403670,2
108182109,7
1052425,2
226228335,1
209372148,2
205946957,197
60920148,6
57904368,4
123790381,4
56834190,471
193438408,11
8570449,14
117727882,1
18584695,1
12729807,1
103480670,489
15286013,6
12896359,4
23896732,1
47426822,22232
15645922,1
151300728,31
227375274,11456
92392508,27313
18168573,7
6194756,1
15144983,1
40768813,2
92914130,1
81843755,3654
15276658,1
62041194,20
393556,5
39382588,1
8703108,8
140809894,35
58310483,3
133977614,284
12616314,1
124715344,42261
43263588,4
16034236,115
12228386,14580
440610,1
27432325,2
33351241,2
15758533,2
86743483,40
151478663,482
4455651,9
26015073,113
11538225,5
6383465,13
158885074,141
76330681,1
96572957,112655
112915877,3
134467449,1
15436915,2
3336504,2
20048467,4
29852690,52
56762472,18
121521103,2
123005291,1
64709069,2655
221536538,640
14508481,130
122381861,16386
2586437,195
87006769,7
3542442,2616
99923,1
24171326,4
50114513,1
2704535,27
9872050,1
1286476,126
165253856,1
170538474,5
163246002,1
141801074,1
854893,21
6356928,8
25439016,68
15860219,4
26946462,3593
20786099,2
153942492,3
2643235,15
47573792,89365
90299178,5
99412155,119
29142323,26
142106063,5
155137478,44
7228896,866
39462953,84
2635521,6
11778431,5018
31033616,160
12701999,1
65734036,99
10734931,319212
105103120,3247
7321956,4
20810803,6
155087576,7
11780291,127
48296121,2
108095932,2
19976337,9
10694596,5
12068908,7603
8796235,4
2340363,31
29977750,5
118789569,9
72809829,105
252586220,2
85299902,1
22144942,141
45428092,127
158395352,53
2452756,1629
17146951,1
25464012,387
75215094,1
122531945,2517
81978772,1
2622715,1
199207396,93
51519777,38
16760425,7
134363104,7726
834710,2
36533044,74
1220963,166
147984143,1
55191954,2
158491962,6
79658158,9
86951556,8
231145040,7
121567262,7
275918955,149
183445613,386
73906314,1
14733939,1711
40356321,1
37197298,396
11061315,3
56728839,1
23429678,4
190349,31
63545,14
16579440,5
3166021,3
196032747,3998
155116009,2
43315252,4
20961017,1
41783992,41
103446,85
10357960,16
14784404,3272
22737333,1
232347878,1073
102093413,1
93852556,56
95761526,1
23175199,1263
16408931,13
511892,3
26832731,19504
270389948,1
945181,186287
20381456,14
4646753,4
8302901,1
50388837,188
55226034,1
20330026,1
6956914,2
3261177,2
41336760,5994
33054740,28
10732620,1513
180706954,10
29278426,14
167049439,17
669823,1
11138330,10
62504701,4
17483722,2
1733471,54
107517234,20970
201757704,2518
103709319,47485
202821894,2
43394401,30
85152549,82
164857824,1
1920376,57
61503362,2
